source (en),translation (zh_CN)
String of Pearls,珍珠串星系
Robert's Quartet,罗伯特四重星系
NGC 128 group,NGC 128星系群
Giant Squid Galaxy,大王乌贼星系
Great Star Cloud in Andromeda Galaxy,仙女座星系中的大恒星云
Andromeda Galaxy,仙女座星系
Sculptor Galaxy,玉夫座星系
Silver Coin Galaxy,银币星系
Silver Dollar Galaxy,银元星系
Southern Pinwheel Galaxy,南风车星系
NGC 383 group,NGC 383星系群
Lost Pearl Galaxy,遗珠星系
NGC 507 group,NGC 507星系群
Whirligig Galaxy,转马星系
Little Spindle Galaxy,小主轴星系
Triangulum Galaxy,三角座星系
Pinwheel Galaxy,风车星系
Phantom Galaxy,幻影星系
Fiddlehead Galaxy,蕨菜星系
Perseus Lenticular Galaxy,仙人掌星系
Fornax Dwarf Cluster 3,天炉座矮星系球状星团3
Fornax Dwarf,天炉座矮星系
Eye of God Galaxy,上帝之眼星系
Snow Collar Galaxy,雪领星系
The Colossal Cosmic Eye,宇宙大眼睛星系
Great Barred Spiral Galaxy,大棒旋星系
Eridanus A Group,波江座A星系群
Carafe Group,雕具座星系群
Dusty Hand Galaxy,脏手星系
Meathook Galaxy,肉钩星系
Bear's Paw Galaxy,熊掌星系
Malus Cluster,马吕斯星系团
Polarissima Australis,南极星系
UFO Galaxy,UFO星系
Helix Galaxy,螺旋星系
Pancake Galaxy,煎饼星系
Spindle Galaxy,纺锤星系
NGC 2769 Group,NGC 2769星系群
Supernova Factory,超新星工厂星系
Tiger's Eye Galaxy,虎眼星系
The Penguin Galaxy,企鹅星系
The Porpoise Galaxy,海豚星系
The Egg Galaxy,蛋星系
Bode's Galaxy,波德星系
The Great Spiral,大漩涡星系
Cigar Galaxy,雪茄星系
The Garland Galaxy,花环星系
The Phantom Frisbee Galaxy,幻影飞碟星系
Polarissima Borealis,北极星系
Polarissima,近极星系
Little Pinwheel Galaxy,小风车星系
Leo Quartet,狮子座四重星系
NGC 3190 Group,NGC3190星系群
Sliced Onion Galaxy,洋葱切片星系
Knitting Needle Galaxy,编制针星系
Surfboard Galaxy,冲浪板星系
The Guitar,吉他星系
Frame Galaxy,眼镜框星系
Southern Cross Galaxy,南十字星系
Leo Triplet,狮子座三重星系
Hamburger Galaxy,汉堡星系
Vanishing Galaxy,消没星系
Copeland's Septet,科普兰七重星系
Miniature Spiral,微螺旋星系
Vacuum Cleaner Galaxy,吸尘器星系
NGC 4005 group,NGC 4005星系群
Antennae,触须星系
Ring-Tail Galaxy,环尾星系
Snorter,套索星系
The Box,方盒星系群
Medusa Galaxy,美杜莎星系
Medusa merger,美杜莎合并星系
Medusa Galaxy Merger,美杜莎星系合并
Silver Streak Galaxy,银纹星系
Weaver's Shuttle Galaxy,织布梭星系
Virgo Cluster Pinwheel,室女座星系团风车
Coma Pinwheel Galaxy,后发座风车星系
Swelling Spiral Galaxy,胖螺旋星系
Blowdryer Galaxy,吹风机星系
Mirror Galaxy,镜子星系
Galaxy Cluster,室女座星系团
Markarian's Chain,马卡良星系链
Great Galactic Face,星系构成的脸
The Eyes,双眼星系
Virgo Galaxy,室女座星系
Smoking gun,烟枪星系
Cocoon Galaxy,茧星系
Lost Galaxy,遗失星系
Hairy Eyebrow Galaxy,眉毛星系
The Lost Galaxy of Copeland,科普兰遗失星系
Koi Fish Galaxy,锦鲤星系
Needle Galaxy,针状星系
Flying Saucer Galaxy,飞碟星系
Siamese Twins,双胞胎星系
Fish and Chips Galaxies,鱼薯条星系
Sombrero Galaxy,草帽星系
Dark Lane Galaxy,暗带星系
Faberge Egg Galaxy,俄罗斯彩蛋星系
Frankenstein Galaxy,弗兰肯斯坦星系
Centaurus Chain,半人马座星系链
Whale Galaxy,鲸鱼星系
Herring Galaxy,鲱鱼星系
Umbrella Galaxy,伞星系
Crowbar Galaxy,撬棒星系
Hockey Stick Galaxy,曲棍球星系
The Hook,钩星系
The Hummingbird,蜂鸟星系
Fishhook Galaxy,鱼钩星系
Superwind-Galaxy,超级风星系
Mice Galaxies,双鼠星系
Vinyl LP Galaxy,黑胶唱片星系
Croc's Eye Galaxy,鳄鱼眼星系
Dust Devil Galaxy,尘卷暴星系
Paper-Kite Galaxy,纸风筝星系
Kidney Bean Galaxy,腰豆星系
Black Eye Galaxy,黑眼星系
Evil Eye Galaxy,邪眼星系
Sleeping Beauty Galaxy,睡美人星系
Z Coma Coma,后发座Z彗发星系
The Tweezers Galaxy,镊子星系
Waterbug Galaxy,田鳖星系
NGC 5044 group,NGC 5044星系群
Sunflower Galaxy,向日葵星系
The Hamburger Galaxy,汉堡星系
Whirlpool Galaxy,涡状星系
Question Mark Galaxy,问号星系
Rosse's Galaxy,罗斯星系
Thousand Rubies Galaxy,千红宝石星系
Seashell Galaxy,贝壳星系
NGC 5353 group,NGC 5353星系群
The Heron Galaxy,苍鹭星系
NGC 5416 group,NGC 5416星系群
NGC 5629 group,NGC 5629星系群
Blade and Pearl Galaxy,刃珠星系
The Mini Sombrero Galaxy,迷你墨西哥帽星系
Fool's Gold Galaxy,金钱游戏星系
Splinter Galaxy,分裂星系
Cat Scratch Galaxy,猫爪星系
Knife Edge Galaxy,刀锋星系
Seyfert's Sextet,赛弗特六重星系
Lost in Space Galaxy,太空迷航星系
Edward's Galaxy,爱德华星系
Bird's Head,鸟头星系
Pentagon,五角星系
Barnard's Galaxy,巴纳德星系
Condor Galaxy,秃鹰星系
Giant Behemoth Galaxy,巨兽星系
Fireworks Galaxy,烟花星系
Witch's Broom Galaxy,女巫扫帚星系
Atoms for Peace Galaxy,核和平星系
Stephan's Quintet,史蒂芬五重星系
Deer Lick Group,鹿舔星系群
NGC 7385 group,NGC 7385 星系群
Grand Design Galaxy,大设计星系
Superman Galaxy,超人星系
Grus Quartet,天鹤座四重星系
Grus Triplet,天鹤座三重星系
Fried-egg Galaxy,荷包蛋星系
Bond's Galaxy,邦德星系
The Little Sombrero Galaxy,小墨西哥帽星系
Electric Arc Galaxy,电弧星系
Starburst Galaxy,星爆星系
Maffei 1 Group,马费伊1星系群
Papillon,蝴蝶犬星系
ZW II 108 Group,ZW II 108星系群
IC 2199 group,IC 2199 星系群
Browning Galaxy,布朗宁星系
Southern Integral Sign,南积分号星系
Taffy Galaxies,太妃糖星系
Wolf-Lundmark-Melotte Object (WLM),沃尔夫-隆达马克-梅洛帝星系 (WLM)
Sculptor Dwarf Irregular Galaxy,玉夫座矮不规则星系
Andromeda III Dwarf Galaxy,仙女座III矮星系
Cartwheel Galaxy,车轮星系
Cartwheel Ring Galaxy,车轮环星系
Exclamation Mark Galaxy,感叹号星系
Andromeda I Dwarf Galaxy,仙女座I矮星系
Baade's Galaxy A,巴德A星系
Baade's Galaxy B,巴德B星系
Sculptor Dwarf Galaxy,玉夫座矮星系
Pisces Dwarf Galaxy,双鱼座矮星系
Andromeda II Dwarf Galaxy,仙女座II矮星系
White Rose Galaxy,白玫瑰星系
Phoenix Dwarf Galaxy,凤凰座矮星系
Fornax Dwarf Galaxy,天炉座矮星系
Fornax System,天炉座星系
Schuster's Spiral Galaxy,舒斯特螺旋星系
Horologium Dwarf Galaxy,时钟座矮星系
Orion Dwarf Galaxy,猎户座矮星系
Carina Dwarf Galaxy,船底座矮星系
Southern Ellipse,南椭圆星系
Argo Dwarf Irregular Galaxy,南船座矮不规则星系
Integral Sign Galaxy,积分号星系
Phoenix Galaxy,凤凰座星系
M81 Dwarf A,M81 A矮星系
Revolver Galaxy,左轮手枪星系
Antlia Dwarf Galaxy,唧筒座矮星系
M81 Dwarf B,M81 B矮星系
Vela Ring Galaxy,船帆座环星系
Spider Galaxy,蜘蛛星系
Ant Galaxy,蚂蚁星系
Leo II Dwarf Galaxy,狮子座II矮星系
Arp's Galaxy,埃尔普星系
A Flying Bird,飞鸟星系
Wild's Triplet,狂野三重星系
Imprint of a Foot Galaxy,脚印星系
Hardcastle's Galaxy,哈德卡斯特星系
Fourcade-Figueroa Galaxy,佛洛卡德-菲格罗亚星系
Circinus Galaxy,圆规座星系
Segner's Wheel,塞格纳轮盘星系
Ursa Minor Dwarf Galaxy,小熊座矮星系
Hooked Galaxy,钩状星系
Zwicky's Triplet,兹维基三重星系
Draco Dwarf Galaxy,天龙座矮星系
The Bird,鸟星系
Sagittarius Dwarf Galaxy,人马座矮不规则星系
Aquarius Dwarf Galaxy,宝瓶座矮星系
Huchra's Lens,赫钦拉透镜星系
Tucana Dwarf Galaxy,杜鹃座矮星系
Pegasus Dwarf Galaxy,飞马座矮星系
Barbon's Galaxy,巴尔伯恩星系
Superantennae Galaxy,超级触角星系
Sextans Dwarf Spheroidal Galaxy,六分仪座矮椭球星系
Cassiopeia 1,仙后座1星系
Cassiopeia 2,仙后座2星系
Speca Galaxy,辣椒星系
Ring Galaxy in Sextans,六分仪座环状星系
Cassiopeia Dwarf Spheroidal Galaxy,仙后座矮椭球星系
Cetus Dwarf Galaxy,鲸鱼座矮星系
The Grasshopper Galaxy,蝗虫星系
Leo Dwarf Irregular Galaxy,狮子座矮不规则星系
Regulus Dwarf Galaxy,轩辕十四矮星系
Exclamation Point Galaxy,惊叹号星系
Serpens Dwarf Galaxy,巨蛇座矮星系
Tadpole Galaxy,蝌蚪星系
Pegasus Dwarf Irregular Galaxy,飞马座矮不规则星系
Lemon Galaxy,柠檬星系
Haufen A,哈芬A星系群
Cetus Cluster,鲸鱼座星系团
Perseus Cluster,英仙座星系团
Train Wreck Cluster,火车残骸星系团
Hydra Cluster,长蛇座星系团
Leo Cluster,狮子座星系团
Ursa Major I,大熊座1星系群
Coma Cluster,后发座星系团
Bootes Cluster,牧夫座星系团
Corona Borealis Cluster,北冕座星系团
Hercules Cluster,武仙座星系团
Pandora’s Cluster,潘多拉星系团
Centaurus Cluster,半人马座星系团
Shapley 8 Cluster,夏普利8星系团
Norma Cluster,矩尺座星系团
Fornax Cluster,天炉座星系团
Fornax Group,天炉座星系群
NGC 1399 Group,NGC1399星系群
Antlia Cluster,唧筒座星系团
Reticulum Dwarf Galaxy,网罟座矮星系
Sacred Mushroom,神圣蘑菇星系
Capricorn Dwarf Galaxy,摩羯座矮星系
